Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV prevalence","2021","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,071,005","382.2","280,202,649"
"HIV prevalence","2020 (COVID-19 Pandemic)","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,052,153","377.1","278,981,645"
"HIV prevalence","2019","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,039,249","376.5","276,063,213"
"HIV prevalence","2018","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,016,922","370.8","274,284,600"
"HIV prevalence","2017","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","993,823","364.8","272,395,718"
"HIV prevalence","2016","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","969,872","358.9","270,260,540"
"HIV prevalence","2015","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","945,231","352.7","267,974,914"
"HIV prevalence","2014","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","920,107","346.3","265,709,949"
"HIV prevalence","2013","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","895,427","340.0","263,340,316"
"HIV prevalence","2012","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","871,464","333.9","261,022,601"
"HIV prevalence","2011","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","846,207","327.1","258,662,228"
"HIV prevalence","2010","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","820,490","320.0","256,389,865"
"HIV prevalence","2009","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","791,479","312.5","253,253,138"
"HIV prevalence","2008","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","764,312","304.5","251,009,998"
