"Date Printed: Monday, April 3, 2023 9:47:24 AM"
Title: "HIV prevalence | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories"
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
Prevalence data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
^ Jurisdiction with incomplete reporting of deaths for most recent year.
NA - Not Applicable.



Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV prevalence","2021","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","14,436","339.7","4,249,627"
"HIV prevalence","2020 (COVID-19 Pandemic)","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","14,112","333.8","4,227,434"
"HIV prevalence","2019","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","13,831","335.0","4,128,511"
"HIV prevalence","2018","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","13,433","326.8","4,110,461"
"HIV prevalence","2017","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","13,002","317.4","4,096,426"
"HIV prevalence","2016","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","12,463","305.2","4,084,113"
"HIV prevalence","2015","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","12,076","296.6","4,071,935"
"HIV prevalence","2014","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","12,105","298.1","4,060,083"
"HIV prevalence","2013","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","11,709","289.6","4,042,695"
"HIV prevalence","2012","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","11,338","282.0","4,020,179"
"HIV prevalence","2011","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","11,046","276.3","3,998,191"
"HIV prevalence","2010","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","10,548","265.0","3,980,691"
