"Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","40,289","107,964,479","37.32","43.68","1,867,536"
"2018","32,706","108,381,107","30.18","34.95","1,522,260"
"Total","143,532","432,896,192","33.16","--","6,662,946"
"","","","","",""
"Injury Outcome: Fatal","","","","",""
"Injury Type: All Injury","","","","",""
"Data Years: 2018 to 2021","","","","",""
"Geography: United States","","","","",""
"Intent: All Intents","","","","",""
"Mechanism: All Injury","","","","",""
"Age: <1 to 25","","","","",""
"Sex: Both Sexes","","","","",""
"Race: All Races","","","","",""
"Ethnicity: All Ethnicities","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","",""
"YPLL Age: 65","","","","",""
"Year and Race Options: 2001 - 2021 with No Race","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","",""
