"Date Printed: Thursday, June 15, 2023 10:07:12 AM",,,
"Title: ""HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2022 | United States | All races/ethnicities | Additional gender identity (AGI) | Transgender man | Transgender woman | Ages 13 years and older | All transmission categories""""",,,
Footnote(s): Data for 2022 are considered preliminary (subject to a 12-month reporting delay). Inclusion of 2022 data in trend assessments is discouraged. Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data by transmission category presented based on assigned sex at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,
The 'Sex' column is used for either sex at birth or gender identity.,,,
NA - Not applicable.



Indicator,Year,Sex,Cases
HIV diagnoses,2008,Additional gender identity (AGI),11
HIV diagnoses,2008,Transgender man,24
HIV diagnoses,2008,Transgender woman,534
HIV diagnoses,2009,Additional gender identity (AGI),10
HIV diagnoses,2009,Transgender man,15
HIV diagnoses,2009,Transgender woman,549
HIV diagnoses,2010,Additional gender identity (AGI),12
HIV diagnoses,2010,Transgender man,11
HIV diagnoses,2010,Transgender woman,571
HIV diagnoses,2011,Additional gender identity (AGI),9
HIV diagnoses,2011,Transgender man,18
HIV diagnoses,2011,Transgender woman,593
HIV diagnoses,2012,Additional gender identity (AGI),15
HIV diagnoses,2012,Transgender man,14
HIV diagnoses,2012,Transgender woman,612
HIV diagnoses,2013,Additional gender identity (AGI),7
HIV diagnoses,2013,Transgender man,17
HIV diagnoses,2013,Transgender woman,605
HIV diagnoses,2014,Additional gender identity (AGI),13
HIV diagnoses,2014,Transgender man,30
HIV diagnoses,2014,Transgender woman,594
HIV diagnoses,2015,Additional gender identity (AGI),18
HIV diagnoses,2015,Transgender man,34
HIV diagnoses,2015,Transgender woman,635
HIV diagnoses,2016,Additional gender identity (AGI),21
HIV diagnoses,2016,Transgender man,23
HIV diagnoses,2016,Transgender woman,702
HIV diagnoses,2017,Additional gender identity (AGI),18
HIV diagnoses,2017,Transgender man,32
HIV diagnoses,2017,Transgender woman,651
HIV diagnoses,2018,Additional gender identity (AGI),19
HIV diagnoses,2018,Transgender man,48
HIV diagnoses,2018,Transgender woman,661
HIV diagnoses,2019,Additional gender identity (AGI),32
HIV diagnoses,2019,Transgender man,45
HIV diagnoses,2019,Transgender woman,692
HIV diagnoses,2022,Additional gender identity (AGI),52
HIV diagnoses,2022,Transgender man,42
HIV diagnoses,2022,Transgender woman,639
