Bureau of Justice Statistics,,,,,,,
Filename: p20stt23.csv,,,,,,,
"Table 23. Prisoners under the jurisdiction or in the custody of correctional authorities in U.S. territories and commonwealths, by prison facility capacity, December 31, 2020",,,,,,,
Report title: Prisoners in 2020 � Statistical Tables NCJ 302776,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2020",,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of version: 12/14/2021,,,,,,,
,,,,,,,
"Table 23. Prisoners under the jurisdiction or in the custody of correctional authorities in U.S. territories and commonwealths, by prison facility capacity, December 31, 2020",,,,,,,
,,Jurisdiction population,,,Type of capacity,,
U.S. territory/U.S. commonwealth,,Total/a,Sentenced to more than 1 year/b,Total custody population,Rated,Operational,Design
,Total,"6,656","5,955","9,663",:,:,:
American Samoa/c,,/,/,196,/,/,/
Guam,,500,304,539,843,/,768
Northern Mariana Islands/d,,175,145,175,559,325,559
Puerto Rico/e,,"5,610","5,506","8,561","11,909","10,290","14,632"
U.S. Virgin Islands/f,,371,/,192,/,/,/
"Note: Jurisdiction refers to the legal authority of U.S. territorial or commonwealth correctional officials over a prisoner, regardless of where the prisoner is held. Custody refers to the physical location where the prisoner is held. Rated capacity is the number of prisoners or beds a facility can hold as set by a rating official. Operational capacity is the number of prisoners a facility can hold based on staffing and services. Design capacity is the number of prisoners a facility can hold as set by the architect or planner.",,,,,,,
:Not calculated.,,,,,,,
/Not reported.,,,,,,,
a/Excludes American Samoa.,,,,,,,
b/Excludes American Samoa and the U.S. Virgin Islands.,,,,,,,
c/American Samoa has not submitted National Prisoner Statistics (NPS) data since 2011. Custody data were located in the American Samoa Statistical Yearbook 2017 (http://doc.as/wp-content/uploads/2018/10/2017-Statistical-Yearbook.pdf) and represent the number of persons in custody as of December 2017.,,,,,,,
d/The Northern Mariana Islands did not submit NPS data in 2020. Data are from 2019.,,,,,,,
"e/Puerto Rico did not submit NPS data in 2020. Jurisdiction and capacity counts are from 2019. The custody count was downloaded from http://dcr.pr.gov/informes-estadisticos/ on June 1, 2021 and represents the custody population in July 2020.",,,,,,,
"f/The U.S. Virgin Islands has not submitted NPS data since 2013. Data are taken from the March 27, 2019 testimony of Virgin Islands Bureau of Corrections Director-designee Wynnie Testamark to the Virgin Islands Committee on Homeland Security, Justice, and Public Safety, found at www.legvi.org, and represent the number of prisoners in the custody and under the jurisdiction of the U.S. Virgin Islands at the end of March 2019.",,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2020.",,,,,,,
