"Date Printed: Wednesday, March 1, 2023 11:33:35 AM"
Title: "PrEP coverage and number of persons prescribed | 2017 | 2018 | 2019 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | 13-24 | 25-34 | 35-44 | 45-54 | 55+ | All transmission categories"
Footnote(s): PrEP coverage, reported as a percentage, is calculated as the number of persons aged &ge;16 years classified as having been prescribed PrEP divided by the estimated number of persons aged &ge;16 years who had indications for PrEP. Number prescribed, or “cases”, is defined as the number of persons aged &ge;16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP. “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Race/ethnicity data are adjusted due to large proportion of missing race/ethnicity. To allow for comparison with other HIV indicators, data are presented for &ge;13- and 13–24-year-olds, but represent &ge;16- and 16-24-years-olds, respectively. Number prescribed are reported through June 2022
NA - Not Applicable.




Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Percent,Population
"PrEP coverage and number of persons prescribed","2021","Alabama","01","55+","All races/ethnicities","Both sexes","All transmission categories","258","31.1","830"
"PrEP coverage and number of persons prescribed","2021","Alabama","01","45-54","All races/ethnicities","Both sexes","All transmission categories","371","26.5","1,400"
"PrEP coverage and number of persons prescribed","2021","Alabama","01","35-44","All races/ethnicities","Both sexes","All transmission categories","542","32.5","1,670"
"PrEP coverage and number of persons prescribed","2021","Alabama","01","25-34","All races/ethnicities","Both sexes","All transmission categories","1,069","28.6","3,740"
"PrEP coverage and number of persons prescribed","2021","Alabama","01","13-24","All races/ethnicities","Both sexes","All transmission categories","521","15.4","3,380"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Alabama","01","55+","All races/ethnicities","Both sexes","All transmission categories","167","20.1","830"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Alabama","01","45-54","All races/ethnicities","Both sexes","All transmission categories","304","21.7","1,400"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Alabama","01","35-44","All races/ethnicities","Both sexes","All transmission categories","384","23.0","1,670"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Alabama","01","25-34","All races/ethnicities","Both sexes","All transmission categories","741","19.8","3,740"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Alabama","01","13-24","All races/ethnicities","Both sexes","All transmission categories","308","9.1","3,380"
"PrEP coverage and number of persons prescribed","2019","Alabama","01","55+","All races/ethnicities","Both sexes","All transmission categories","151","18.2","830"
"PrEP coverage and number of persons prescribed","2019","Alabama","01","45-54","All races/ethnicities","Both sexes","All transmission categories","289","20.6","1,400"
"PrEP coverage and number of persons prescribed","2019","Alabama","01","35-44","All races/ethnicities","Both sexes","All transmission categories","359","21.5","1,670"
"PrEP coverage and number of persons prescribed","2019","Alabama","01","25-34","All races/ethnicities","Both sexes","All transmission categories","692","18.5","3,740"
"PrEP coverage and number of persons prescribed","2019","Alabama","01","13-24","All races/ethnicities","Both sexes","All transmission categories","344","10.2","3,380"
"PrEP coverage and number of persons prescribed","2018","Alabama","01","55+","All races/ethnicities","Both sexes","All transmission categories","129","15.5","830"
"PrEP coverage and number of persons prescribed","2018","Alabama","01","45-54","All races/ethnicities","Both sexes","All transmission categories","269","19.2","1,400"
"PrEP coverage and number of persons prescribed","2018","Alabama","01","35-44","All races/ethnicities","Both sexes","All transmission categories","303","18.1","1,670"
"PrEP coverage and number of persons prescribed","2018","Alabama","01","25-34","All races/ethnicities","Both sexes","All transmission categories","566","15.1","3,740"
"PrEP coverage and number of persons prescribed","2018","Alabama","01","13-24","All races/ethnicities","Both sexes","All transmission categories","265","7.8","3,380"
"PrEP coverage and number of persons prescribed","2017","Alabama","01","55+","All races/ethnicities","Both sexes","All transmission categories","85","9.3","910"
"PrEP coverage and number of persons prescribed","2017","Alabama","01","45-54","All races/ethnicities","Both sexes","All transmission categories","201","13.1","1,530"
"PrEP coverage and number of persons prescribed","2017","Alabama","01","35-44","All races/ethnicities","Both sexes","All transmission categories","203","10.6","1,910"
"PrEP coverage and number of persons prescribed","2017","Alabama","01","25-34","All races/ethnicities","Both sexes","All transmission categories","376","10.1","3,720"
"PrEP coverage and number of persons prescribed","2017","Alabama","01","13-24","All races/ethnicities","Both sexes","All transmission categories","147","4.4","3,320"
"PrEP coverage and number of persons prescribed","2021","Alaska","02","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","160"
"PrEP coverage and number of persons prescribed","2021","Alaska","02","45-54","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","310"
