AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_18-39,Alabama,1,383,183,566,0.6766784452
_18-39,Alaska,2,74,46,120,0.6166666667
_18-39,Arizona,4,387,165,552,0.7010869565
_18-39,Arkansas,5,411,200,611,0.6726677578
_18-39,California,6,2995,1122,4117,0.7274714598
_18-39,Colorado,8,478,172,650,0.7353846154
_18-39,Connecticut,9,485,128,613,0.7911908646
_18-39,Delaware,10,108,25,133,0.8120300752
_18-39,"District of Columbia",11,48,53,101,0.4752475248
_18-39,Florida,12,1460,661,2121,0.6883545497
_18-39,Georgia,13,745,354,1099,0.67788899
_18-39,Hawaii,15,43,36,79,0.5443037975
_18-39,Idaho,16,200,79,279,0.7168458781
_18-39,Illinois,17,846,337,1183,0.7151310228
_18-39,Indiana,18,709,240,949,0.7471022129
_18-39,Iowa,19,495,134,629,0.786963434
_18-39,Kansas,20,361,141,502,0.719123506
_18-39,Kentucky,21,388,177,565,0.6867256637
_18-39,Louisiana,22,426,284,710,0.6
_18-39,Maine,23,199,68,267,0.7453183521
_18-39,Maryland,24,835,300,1135,0.7356828194
_18-39,Massachusetts,25,960,276,1236,0.7766990291
_18-39,Michigan,26,1096,450,1546,0.7089262613
_18-39,Minnesota,27,927,285,1212,0.7648514851
_18-39,Mississippi,28,393,209,602,0.6528239203
_18-39,Missouri,29,1057,293,1350,0.782962963
_18-39,Montana,30,130,48,178,0.7303370787
_18-39,Nebraska,31,277,83,360,0.7694444444
_18-39,Nevada,32,276,148,424,0.6509433962
_18-39,"New Hampshire",33,200,51,251,0.796812749
_18-39,"New Jersey",34,693,245,938,0.7388059701
_18-39,"New Mexico",35,136,83,219,0.6210045662
_18-39,"New York",36,1510,593,2103,0.7180218735
_18-39,"North Carolina",37,1170,526,1696,0.6898584906
_18-39,"North Dakota",38,115,42,157,0.7324840764
_18-39,Ohio,39,994,401,1395,0.7125448029
_18-39,Oklahoma,40,482,177,659,0.7314112291
_18-39,Oregon,41,304,162,466,0.652360515
_18-39,Pennsylvania,42,1114,446,1560,0.7141025641
_18-39,"Rhode Island",44,104,29,133,0.7819548872
_18-39,"South Carolina",45,490,243,733,0.6684856753
_18-39,"South Dakota",46,91,36,127,0.7165354331
_18-39,Tennessee,47,398,216,614,0.6482084691
_18-39,Texas,48,1532,712,2244,0.6827094474
_18-39,Utah,49,224,78,302,0.7417218543
_18-39,Vermont,50,93,27,120,0.775
_18-39,Virginia,51,777,330,1107,0.701897019
_18-39,Washington,53,521,286,807,0.6456009913
_18-39,"West Virginia",54,174,61,235,0.7404255319
_18-39,Wisconsin,55,642,162,804,0.7985074627
_18-39,Wyoming,56,60,26,86,0.6976744186
_40-64,Alabama,1,1113,331,1444,0.7707756233
_40-64,Alaska,2,210,69,279,0.752688172
_40-64,Arizona,4,868,347,1215,0.7144032922
_40-64,Arkansas,5,948,321,1269,0.7470449173
_40-64,California,6,9899,2850,12749,0.7764530551
_40-64,Colorado,8,1158,244,1402,0.8259629101
_40-64,Connecticut,9,1647,270,1917,0.8591549296
_40-64,Delaware,10,329,72,401,0.8204488778
_40-64,"District of Columbia",11,225,90,315,0.7142857143
_40-64,Florida,12,4506,1276,5782,0.7793151159
_40-64,Georgia,13,2209,678,2887,0.7651541392
_40-64,Hawaii,15,168,49,217,0.7741935484
_40-64,Idaho,16,434,143,577,0.7521663778
_40-64,Illinois,17,3539,1010,4549,0.7779731809
_40-64,Indiana,18,2426,555,2981,0.8138208655
_40-64,Iowa,19,1426,254,1680,0.8488095238
_40-64,Kansas,20,1171,284,1455,0.8048109966
_40-64,Kentucky,21,1247,321,1568,0.7952806122
_40-64,Louisiana,22,1350,486,1836,0.7352941176
_40-64,Maine,23,588,139,727,0.8088033012
_40-64,Maryland,24,2664,616,3280,0.812195122
_40-64,Massachusetts,25,3427,668,4095,0.8368742369
_40-64,Michigan,26,4231,979,5210,0.8120921305
_40-64,Minnesota,27,2880,445,3325,0.8661654135
_40-64,Mississippi,28,1434,439,1873,0.7656166578
_40-64,Missouri,29,2941,555,3496,0.8412471396
_40-64,Montana,30,398,103,501,0.7944111776
_40-64,Nebraska,31,673,141,814,0.8267813268
_40-64,Nevada,32,724,318,1042,0.6948176583
_40-64,"New Hampshire",33,628,87,715,0.8783216783
_40-64,"New Jersey",34,3025,732,3757,0.8051636944
_40-64,"New Mexico",35,355,114,469,0.7569296375
_40-64,"New York",36,6411,1379,7790,0.8229781772
_40-64,"North Carolina",37,3360,921,4281,0.7848633497
_40-64,"North Dakota",38,382,50,432,0.8842592593
_40-64,Ohio,39,3149,735,3884,0.8107621009
_40-64,Oklahoma,40,1306,359,1665,0.7843843844
_40-64,Oregon,41,811,258,1069,0.7586529467
_40-64,Pennsylvania,42,3754,901,4655,0.8064446831
_40-64,"Rhode Island",44,298,64,362,0.8232044199
_40-64,"South Carolina",45,1363,457,1820,0.7489010989
_40-64,"South Dakota",46,337,61,398,0.8467336683
