Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,45-49 years,45-49,109,309892,35.2
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,50-54 years,50-54,152,275759,55.1
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,55-59 years,55-59,239,220728,108.3
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,60-64 years ,60-64,238,189814,125.4
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,65-69 years,65-69,312,167363,186.4
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,70-74 years,70-74,340,148565,228.9
,1999,1999,Colon and Rectum,21041-21052,Alaska,02,50-54 years,50-54,24,39580,60.6
,1999,1999,Colon and Rectum,21041-21052,Alaska,02,55-59 years,55-59,18,26381,68.2
,1999,1999,Colon and Rectum,21041-21052,Alaska,02,60-64 years ,60-64,34,16960,200.5
,1999,1999,Colon and Rectum,21041-21052,Alaska,02,65-69 years,65-69,30,12219,245.5
,1999,1999,Colon and Rectum,21041-21052,Alaska,02,70-74 years,70-74,25,9512,262.8
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,45-49 years,45-49,72,322567,22.3
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,50-54 years,50-54,121,282200,42.9
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,55-59 years,55-59,158,229310,68.9
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,60-64 years ,60-64,241,198437,121.4
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,65-69 years,65-69,316,188248,167.9
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,70-74 years,70-74,380,174466,217.8
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,45-49 years,45-49,54,178341,30.3
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,50-54 years,50-54,92,161702,56.9
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,55-59 years,55-59,121,135264,89.5
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,60-64 years ,60-64,146,115753,126.1
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,65-69 years,65-69,209,104761,199.5
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,70-74 years,70-74,220,93175,236.1
,1999,1999,Colon and Rectum,21041-21052,California,06,45-49 years,45-49,567,2269009,25
,1999,1999,Colon and Rectum,21041-21052,California,06,50-54 years,50-54,899,1920301,46.8
,1999,1999,Colon and Rectum,21041-21052,California,06,55-59 years,55-59,1113,1415902,78.6
,1999,1999,Colon and Rectum,21041-21052,California,06,60-64 years ,60-64,1342,1127145,119.1
,1999,1999,Colon and Rectum,21041-21052,California,06,65-69 years,65-69,1762,985605,178.8
,1999,1999,Colon and Rectum,21041-21052,California,06,70-74 years,70-74,2154,902399,238.7
,1999,1999,Colon and Rectum,21041-21052,Colorado,08,45-49 years,45-49,69,327225,21.1
,1999,1999,Colon and Rectum,21041-21052,Colorado,08,50-54 years,50-54,106,265834,39.9
,1999,1999,Colon and Rectum,21041-21052,Colorado,08,55-59 years,55-59,142,186839,76
